Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional\
1,Precious Achiuwa,C,23,TOR,42,11,947,156,325,0.48,21,80,0.263,135,245,0.551,0.512,75,108,0.694,81,184,265,42,26,26,49,85,408,achiupr01\
2,Steven Adams,C,29,MEM,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361,adamsst01\
3,Bam Adebayo,C,25,MIA,61,61,2137,509,943,0.54,1,12,0.083,508,931,0.546,0.54,276,341,0.809,154,434,588,200,75,50,153,172,1295,adebaba01\
4,Ochai Agbaji,SG,22,UTA,43,6,714,84,189,0.444,43,119,0.361,41,70,0.586,0.558,21,29,0.724,27,48,75,29,10,6,18,65,232,agbajoc01\
5,Santi Aldama,PF,22,MEM,61,18,1338,201,425,0.473,80,222,0.36,121,203,0.596,0.567,80,112,0.714,59,218,277,73,39,42,44,120,562,aldamsa01\
6,Nickeil Alexander-Walker,SG,24,TOT,44,3,661,104,220,0.473,48,114,0.421,56,106,0.528,0.582,31,46,0.674,11,64,75,88,27,18,49,69,287,alexani01\
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,8,51,59,76,24,14,45,58,228,alexani01\
6,Nickeil Alexander-Walker,SG,24,MIN,8,0,133,21,50,0.42,13,27,0.481,8,23,0.348,0.55,4,7,0.571,3,13,16,12,3,4,4,11,59,alexani01\
7,Grayson Allen,SG,27,MIL,61,59,1692,212,473,0.448,126,306,0.412,86,167,0.515,0.581,98,109,0.899,55,146,201,145,50,10,63,104,648,allengr01\
8,Jarrett Allen,C,24,CLE,60,60,1981,362,557,0.65,1,9,0.111,361,548,0.659,0.651,144,198,0.727,186,397,583,98,49,70,85,134,869,allenja01\
9,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550,alvarjo01\
10,Kyle Anderson,PF,29,MIN,54,38,1436,177,347,0.51,33,76,0.434,144,271,0.531,0.558,88,117,0.752,42,225,267,224,62,47,76,112,475,anderky01\
11,Giannis Antetokounmpo,PF,28,MIL,52,52,1688,574,1065,0.539,42,150,0.28,532,915,0.581,0.559,431,659,0.654,117,503,620,285,38,42,205,170,1621,antetgi01\
12,Thanasis Antetokounmpo,SF,30,MIL,28,0,112,6,22,0.273,0,5,0,6,17,0.353,0.273,4,8,0.5,9,19,28,4,2,3,8,13,16,antetth01\
13,Cole Anthony,PG,22,ORL,46,3,1157,199,447,0.445,51,152,0.336,148,295,0.502,0.502,117,133,0.88,29,179,208,188,27,26,67,117,566,anthoco01\
14,OG Anunoby,SF,25,TOR,52,52,1862,312,691,0.452,97,272,0.357,215,419,0.513,0.522,125,151,0.828,77,199,276,103,101,39,112,159,846,anunoog01\
15,Ryan Arcidiacono,PG,28,TOT,14,1,69,4,14,0.286,4,9,0.444,0,5,0,0.429,0,0,,0,10,10,8,2,0,3,6,12,arcidry01\
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3,arcidry01\
15,Ryan Arcidiacono,PG,28,POR,3,1,43,3,9,0.333,3,6,0.5,0,3,0,0.5,0,0,,0,6,6,6,0,0,2,3,9,arcidry01\
16,Deni Avdija,SF,22,WAS,63,34,1644,200,460,0.435,55,187,0.294,145,273,0.531,0.495,106,139,0.763,67,329,396,155,56,28,92,180,561,avdijde01\
17,Deandre Ayton,C,24,PHO,56,56,1701,446,753,0.592,7,23,0.304,439,730,0.601,0.597,125,169,0.74,153,419,572,108,32,43,104,163,1024,aytonde01\
18,Udoka Azubuike,C,23,UTA,26,0,153,24,29,0.828,0,0,,24,29,0.828,0.828,2,8,0.25,16,40,56,6,4,7,10,14,50,azubuud01\
19,Marvin Bagley III,C,23,DET,31,16,703,148,274,0.54,10,42,0.238,138,232,0.595,0.558,54,76,0.711,80,133,213,23,14,25,33,63,360,baglema01\
20,Patrick Baldwin Jr.,SF,20,GSW,22,0,187,38,91,0.418,29,70,0.414,9,21,0.429,0.577,4,6,0.667,1,32,33,6,6,2,9,10,109,baldwpa01\
21,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838,ballla01\
22,Mo Bamba,C,24,TOT,47,7,762,116,238,0.487,48,123,0.39,68,115,0.591,0.588,41,62,0.661,56,165,221,46,13,42,30,103,321,bambamo01\
22,Mo Bamba,C,24,ORL,40,6,681,106,214,0.495,43,108,0.398,63,106,0.594,0.596,35,51,0.686,47,137,184,42,12,38,22,86,290,bambamo01\
22,Mo Bamba,C,24,LAL,7,1,81,10,24,0.417,5,15,0.333,5,9,0.556,0.521,6,11,0.545,9,28,37,4,1,4,8,17,31,bambamo01\
23,Paolo Banchero,PF,20,ORL,59,59,1987,391,925,0.423,66,240,0.275,325,685,0.474,0.458,330,442,0.747,67,320,387,212,53,30,160,135,1178,banchpa01\
24,Desmond Bane,SG,24,MEM,42,42,1309,316,677,0.467,123,299,0.411,193,378,0.511,0.558,134,149,0.899,31,180,211,172,40,18,87,104,889,banede01\
25,Dalano Banton,PG,23,TOR,27,2,251,46,112,0.411,13,46,0.283,33,66,0.5,0.469,15,19,0.789,9,27,36,29,13,12,16,31,120,bantoda01\
26,Dominick Barlow,SF,19,SAS,14,0,154,17,33,0.515,0,4,0,17,29,0.586,0.515,10,13,0.769,19,18,37,9,3,4,8,25,44,barlodo01\
27,Harrison Barnes,PF,30,SAC,64,64,2101,296,624,0.474,106,283,0.375,190,341,0.557,0.559,268,318,0.843,63,238,301,105,47,10,72,83,966,barneha02\
28,Scottie Barnes,PF,21,TOR,63,62,2221,375,832,0.451,57,191,0.298,318,641,0.496,0.485,158,207,0.763,148,290,438,301,62,56,129,141,965,barnesc01\
29,RJ Barrett,SG,22,NYK,60,60,2053,419,972,0.431,106,325,0.326,313,647,0.484,0.486,238,318,0.748,53,258,311,168,28,10,135,154,1182,barrerj01\
30,Will Barton,SG,32,TOT,44,0,817,113,295,0.383,54,145,0.372,59,150,0.393,0.475,35,45,0.778,10,103,113,98,19,11,47,44,315,bartowi01\
30,Will Barton,SG,32,WAS,40,0,782,110,285,0.386,52,138,0.377,58,147,0.395,0.477,35,45,0.778,10,101,111,95,17,10,45,39,307,bartowi01\
30,Will Barton,SG,32,TOR,4,0,35,3,10,0.3,2,7,0.286,1,3,0.333,0.4,0,0,,0,2,2,3,2,1,2,5,8,bartowi01\
31,Charles Bassey,C,22,SAS,32,2,469,81,124,0.653,3,7,0.429,78,117,0.667,0.665,20,33,0.606,71,112,183,44,14,30,41,67,185,bassech01\
